ID,WC,WPS,Qmarks,Unique,Dic,Sixltr,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Class
381,12,12,0,100,83.33,33.33,25,8.33,8.33,0,0,0,8.33,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,8.33,0,0,0,16.67,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,16.67,0,8.33,8.33,0,0,8.33,0,16.67,0,0,0,1
382,8,8,0,100,50,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,12.5,0,0,0,0,12.5,0,0,0,1
383,47,47,0,87.23,59.57,36.17,44.68,10.64,4.26,4.26,0,0,0,0,6.38,2.13,6.38,4.26,0,4.26,0,4.26,17.02,4.26,0,2.13,6.38,0,0,0,0,0,0,0,0,0,0,0,12.77,4.26,2.13,0,6.38,0,0,2.13,2.13,2.13,0,0,2.13,0,0,0,0,0,10.64,2.13,4.26,4.26,0,0,0,0,0,2.13,2.13,0,0,0,1
384,8,8,0,87.5,62.5,37.5,37.5,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,12.5,0,0,0,12.5,0,0,0,0,0,12.5,0,12.5,0,12.5,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
385,47,47,0,74.47,68.09,29.79,44.68,0,0,0,0,0,0,0,0,17.02,6.38,4.26,4.26,2.13,0,0,17.02,6.38,0,0,2.13,0,0,0,0,0,6.38,0,6.38,2.13,2.13,2.13,8.51,0,2.13,0,0,0,2.13,4.26,0,0,0,0,0,0,0,0,0,0,14.89,2.13,6.38,6.38,2.13,6.38,0,0,0,0,2.13,0,0,0,0
386,14,14,0,100,64.29,50,35.71,14.29,7.14,7.14,0,0,0,0,7.14,0,0,0,0,0,0,0,21.43,0,7.14,0,0,0,7.14,0,0,0,0,0,0,0,0,0,21.43,0,0,0,0,0,14.29,0,7.14,0,0,0,0,0,0,0,0,0,7.14,0,7.14,0,7.14,0,0,0,0,0,7.14,0,0,0,0
387,7,7,0,100,57.14,28.57,28.57,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0
388,13,13,0,100,92.31,38.46,38.46,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,30.77,0,0,0,0,0,7.69,0,0,7.69,15.38,0,15.38,7.69,15.38,0,7.69,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,30.77,0,23.08,7.69,7.69,0,0,0,0,0,7.69,0,0,0,1
389,15,15,0,100,93.33,40,33.33,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,26.67,0,0,0,0,0,6.67,0,0,6.67,13.33,0,13.33,6.67,13.33,0,6.67,0,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,20,13.33,6.67,0,0,0,0,6.67,6.67,0,0,0,1
390,6,6,0,100,83.33,33.33,50,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,16.67,33.33,0,0,0,0,0,0,0,16.67,0,0,0,1
391,47,47,0,80.85,70.21,25.53,42.55,6.38,2.13,0,0,0,0,2.13,4.26,8.51,8.51,6.38,6.38,2.13,0,4.26,10.64,0,2.13,4.26,0,0,4.26,0,0,0,8.51,4.26,4.26,0,4.26,0,12.77,0,0,0,0,4.26,2.13,0,6.38,0,0,0,0,2.13,0,0,2.13,0,10.64,2.13,4.26,2.13,4.26,0,0,0,2.13,0,2.13,0,0,0,0
392,6,6,0,100,66.67,50,33.33,16.67,16.67,0,16.67,0,0,0,0,0,16.67,0,0,16.67,0,0,16.67,0,0,0,0,0,50,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,6,6,0,83.33,50,33.33,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,16.67,16.67,0,33.33,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0
394,10,10,0,80,50,10,50,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,30,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
395,6,6,0,83.33,83.33,33.33,33.33,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,33.33,0,16.67,16.67,16.67,0,0,0,0,0,0,0,0,0,0
396,21,21,0,95.24,90.48,23.81,52.38,14.29,14.29,0,0,0,14.29,0,0,9.52,4.76,0,0,4.76,0,0,19.05,9.52,0,4.76,0,0,23.81,9.52,0,0,4.76,0,4.76,0,4.76,0,14.29,0,4.76,0,0,4.76,0,4.76,0,0,0,0,0,4.76,4.76,0,0,0,4.76,0,4.76,0,0,0,4.76,0,0,0,9.52,0,0,0,1
397,9,9,0,100,33.33,22.22,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,0,22.22,0,0,0,1
398,22,22,0,90.91,50,54.55,27.27,9.09,4.55,4.55,0,0,0,0,4.55,0,0,0,0,0,0,0,18.18,0,4.55,0,0,0,4.55,0,0,0,0,0,0,0,0,0,13.64,0,0,0,0,0,9.09,0,4.55,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,4.55,0,0,0,0,0,4.55,0,0,0,0
399,20,20,0,95,65,50,45,0,0,0,0,0,0,0,0,0,10,5,0,10,0,10,20,15,0,0,5,0,0,0,0,0,0,0,0,0,0,0,35,10,5,0,20,0,0,5,5,0,0,0,0,0,0,0,0,0,15,0,5,10,0,0,0,0,0,0,5,0,0,0,1
400,4,4,0,100,50,50,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,25,25,0,0,0,0,25,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,12,12,0,91.67,50,33.33,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,8.33,0,0,0,8.33,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,8.33,8.33,8.33,0,8.33,0,0,0,0,8.33,0,0,0,1
402,44,44,0,84.09,54.55,29.55,36.36,4.55,0,0,0,0,0,0,4.55,13.64,4.55,2.27,4.55,0,0,0,15.91,2.27,0,0,0,0,6.82,0,0,2.27,2.27,0,2.27,2.27,0,0,6.82,2.27,0,0,0,0,0,4.55,0,0,0,0,0,0,0,0,0,0,11.36,2.27,4.55,4.55,0,2.27,0,0,0,0,2.27,0,0,0,1
403,35,35,0,85.71,57.14,22.86,34.29,0,0,0,0,0,0,0,0,14.29,2.86,0,0,2.86,0,0,20,0,0,0,0,0,0,0,0,0,8.57,0,8.57,0,8.57,0,2.86,0,2.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,14.29,2.86,0,0,0,0,0,0,2.86,0,0,0,0
404,9,9,0,100,88.89,0,55.56,11.11,11.11,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,33.33,0,0,0,0,0,22.22,0,0,0,11.11,11.11,0,0,0,0,11.11,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,22.22,0,0,0,0,0,0,0,0
405,15,15,0,100,40,13.33,13.33,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,13.33,0,0,0,0,0,0,0,0,0,13.33,0,13.33,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,6.67,0,0,20,0,6.67,13.33,0,6.67,0,0,0,0,0,0,0,0,1
406,15,15,0,93.33,80,26.67,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,6.67,0,6.67,0,0,26.67,0,0,6.67,26.67,13.33,13.33,6.67,0,6.67,20,0,0,0,6.67,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,0,0,1
407,25,25,0,88,72,24,48,4,4,0,0,0,0,4,0,0,16,16,4,12,0,8,12,12,0,0,4,0,12,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,16,0,8,8,0,0,0,0,0,0,4,0,0,0,1
408,16,16,0,100,75,18.75,37.5,6.25,6.25,0,0,0,6.25,0,0,0,6.25,6.25,6.25,0,0,6.25,25,6.25,0,0,0,0,6.25,0,0,0,6.25,0,6.25,0,6.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,18.75,0,6.25,0,6.25,6.25,0,0,12.5,0,0,0,1
409,18,18,0,94.44,72.22,44.44,27.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,5.56,0,0,5.56,0,0,0,0,0,11.11,0,11.11,5.56,5.56,0,5.56,0,0,0,0,0,0,5.56,0,0,0,0,0,0,0,0,0,0,38.89,0,16.67,22.22,0,0,0,0,0,0,5.56,0,0,0,1
410,12,12,0,91.67,50,41.67,25,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,16.67,0,0,0,0,0,8.33,0,0,0,8.33,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,0,0,0,0,0,0,16.67,0,0,0,1
411,7,7,0,100,71.43,57.14,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,14.29,0,14.29,0,14.29,0,28.57,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,0,0,0,14.29,28.57,0,0,0,1
412,20,20,0,100,75,20,30,5,5,0,0,0,5,0,0,0,5,5,5,0,0,5,20,5,0,0,0,0,5,0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,20,5,5,0,5,5,0,0,10,0,0,0,1
413,9,9,0,88.89,44.44,33.33,22.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,22.22,0,0,0,0,0,0,0,22.22,0,0,0,1
414,15,15,0,93.33,53.33,33.33,20,0,0,0,0,0,0,0,0,6.67,0,0,0,0,0,0,13.33,0,0,0,6.67,0,0,0,0,0,0,0,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.67,0,13.33,13.33,6.67,0,0,0,0,0,6.67,0,0,0,1
415,14,14,0,92.86,64.29,28.57,57.14,7.14,7.14,0,0,7.14,0,0,0,7.14,14.29,14.29,0,0,7.14,0,14.29,14.29,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,21.43,0,7.14,0,14.29,0,0,0,7.14,7.14,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,9,9,0,100,55.56,44.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,11.11,0,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,11.11,0,0,0,1
417,11,11,0,100,63.64,36.36,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,0,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.36,0,27.27,0,9.09,0,0,0,0,0,9.09,0,0,0,1
418,8,8,0,100,62.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,12.5,0,12.5,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,12.5,0,0,0,1
419,10,10,0,100,60,70,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0,10,0,0,0,1
420,7,7,0,100,57.14,57.14,14.29,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,28.57,0,0,0,1
421,10,10,0,100,60,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,20,0,10,0,0,0,0,0,10,0,0,0,1
422,6,6,0,100,50,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,16.67,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,1
423,9,9,0,100,66.67,44.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,11.11,11.11,0,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,11.11,0,0,0,0,0,11.11,0,0,0,1
424,36,36,0,80.56,72.22,30.56,36.11,5.56,2.78,0,0,0,2.78,0,2.78,11.11,2.78,0,0,2.78,0,0,13.89,2.78,2.78,0,0,0,8.33,0,0,2.78,2.78,0,2.78,0,2.78,0,8.33,2.78,2.78,0,0,0,0,0,2.78,2.78,0,2.78,0,2.78,0,2.78,0,0,22.22,0,16.67,2.78,8.33,0,0,0,0,0,8.33,0,0,0,1
425,6,6,0,100,50,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,16.67,0,16.67,0,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,1
426,22,22,0,90.91,77.27,45.45,31.82,4.55,0,0,0,0,0,0,4.55,0,9.09,4.55,0,9.09,0,0,13.64,4.55,0,9.09,0,0,9.09,0,0,9.09,9.09,0,9.09,4.55,4.55,0,4.55,0,0,0,0,0,0,4.55,0,4.55,4.55,0,0,0,0,0,0,0,18.18,9.09,9.09,0,0,0,0,0,0,4.55,4.55,0,0,0,1
427,15,15,0,100,60,46.67,13.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,26.67,6.67,6.67,0,0,0,0,0,6.67,0,0,0,1
428,7,7,0,100,57.14,71.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,14.29,0,14.29,0,0,0,1
429,11,11,0,90.91,72.73,27.27,36.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,9.09,0,0,9.09,0,0,0,0,0,9.09,0,9.09,0,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,9.09,18.18,0,9.09,0,0,0,0,0,18.18,0,0,0,1
430,8,8,0,100,62.5,50,12.5,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,25,0,0,0,1
431,7,7,0,100,57.14,57.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,14.29,0,0,0,1
432,13,13,0,100,61.54,30.77,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,0,0,7.69,0,7.69,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.46,0,23.08,7.69,7.69,0,0,0,0,0,7.69,0,0,0,1
433,10,10,0,100,60,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,10,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,10,0,0,0,0,0,10,0,0,0,1
434,8,8,0,100,50,50,37.5,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,12.5,0,0,0,1
435,9,9,0,100,66.67,44.44,11.11,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,11.11,0,11.11,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,11.11,0,0,0,0,0,0,11.11,11.11,0,0,0,1
436,11,11,0,100,54.55,54.55,18.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.18,9.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.27,0,27.27,0,9.09,0,0,0,0,0,9.09,0,0,0,1
437,10,10,0,100,50,50,10,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,20,0,0,0,1
438,13,13,0,92.31,53.85,38.46,23.08,0,0,0,0,0,0,0,0,7.69,0,0,0,0,0,0,15.38,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,7.69,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.08,0,15.38,7.69,7.69,0,0,0,0,0,7.69,0,0,0,1
439,12,12,0,91.67,50,41.67,25,0,0,0,0,0,0,0,0,8.33,0,0,0,0,0,0,16.67,0,0,0,8.33,0,0,0,0,0,0,0,0,0,0,0,8.33,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,8.33,8.33,8.33,0,0,0,0,0,8.33,0,0,0,1
440,10,10,0,100,70,30,40,0,0,0,0,0,0,0,0,20,10,10,10,10,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,10,0,0,0,10,0,0,0,1
441,8,8,0,100,75,87.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,12.5,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,12.5,0,0,0,1
442,8,8,0,100,75,62.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5,0,0,0,0,0,0,0,0,25,0,25,0,25,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,1
443,12,12,0,91.67,33.33,41.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,8.33,0,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,8.33,8.33,0,8.33,0,0,0,0,8.33,0,0,0,0
444,8,8,12.5,100,100,12.5,62.5,12.5,12.5,0,0,12.5,0,0,0,0,25,25,0,0,12.5,25,12.5,12.5,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,37.5,0,12.5,12.5,0,0,0,0,12.5,12.5,0,12.5,0,12.5,0,12.5,0,0,0,0,0,0,0,0,12.5,0,0,12.5,0,0,0,0,0
445,34,34,0,88.24,58.82,20.59,38.24,2.94,2.94,0,0,0,0,2.94,0,0,11.76,11.76,2.94,8.82,0,5.88,11.76,8.82,0,0,5.88,0,8.82,0,0,5.88,0,0,0,0,0,0,5.88,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,14.71,0,5.88,8.82,0,0,0,0,0,0,2.94,0,0,0,1
446,16,16,0,68.75,62.5,25,31.25,0,0,0,0,0,0,0,0,0,18.75,12.5,12.5,6.25,0,0,18.75,0,0,0,18.75,0,6.25,0,0,0,12.5,12.5,0,0,0,0,6.25,6.25,0,0,0,0,0,0,0,12.5,6.25,6.25,0,0,0,0,0,0,18.75,0,18.75,0,0,0,0,0,0,0,6.25,0,0,0,1
447,7,7,0,100,71.43,14.29,28.57,0,0,0,0,0,0,0,0,0,28.57,28.57,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,14.29,0,0,14.29,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0
448,22,22,0,90.91,54.55,13.64,27.27,0,0,0,0,0,0,0,0,0,9.09,4.55,9.09,0,0,0,18.18,0,0,4.55,4.55,0,4.55,0,0,0,4.55,0,4.55,0,4.55,0,9.09,4.55,0,4.55,0,0,0,0,0,4.55,0,4.55,0,0,0,0,0,0,13.64,4.55,9.09,0,0,0,0,0,0,0,9.09,0,0,0,1
449,19,19,0,94.74,42.11,26.32,21.05,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,10.53,0,0,5.26,10.53,0,0,0,0,0,5.26,5.26,0,0,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,5.26,0,0,0,0,0,10.53,0,0,0,0,0,0
450,4,4,0,100,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0
451,9,9,0,77.78,44.44,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0
452,7,7,0,100,85.71,14.29,28.57,0,0,0,0,0,0,0,0,0,14.29,0,0,14.29,0,0,28.57,0,0,0,0,0,14.29,0,0,0,14.29,0,14.29,0,0,0,14.29,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.57,0,28.57,0,0,0,0,0,0,0,0,0,0,0,0
453,9,9,0,88.89,66.67,22.22,33.33,0,0,0,0,0,0,0,0,11.11,0,0,0,0,0,0,22.22,0,0,0,0,0,22.22,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.11,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0
454,11,11,0,90.91,81.82,36.36,36.36,0,0,0,0,0,0,0,0,18.18,0,0,0,0,0,0,9.09,9.09,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,9.09,0,0,0,0,0,0,9.09,0,0,0,0,0,0,0,0,0,0,18.18,9.09,9.09,0,0,0,0,0,0,18.18,0,0,0,0,0
455,8,8,0,87.5,62.5,12.5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,25,0,12.5,12.5,0,12.5,12.5,0,0,0,0,0,0,0,0
456,8,8,0,100,62.5,50,25,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,12.5,0,0,0,12.5,0,0,12.5,0,0,0,0,0
457,9,9,0,77.78,44.44,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,11.11,0,0,0,0,0,0,0,0,0,11.11,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0,0,0,22.22,0,0,22.22,0,0,0,0,0,0,0,0,0,0,0
458,15,15,0,80,46.67,33.33,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,13.33,0,6.67,13.33,0,0,0,0,0,0,0,0,0,0,0,13.33,0,0,0,0,0,0,13.33,0,0,0,0,0,0,0,0,0,0,20,6.67,6.67,6.67,0,0,0,0,0,0,6.67,0,0,0,1
459,18,9,0,88.89,83.33,22.22,50,33.33,22.22,11.11,0,5.56,5.56,0,11.11,5.56,11.11,5.56,0,5.56,0,0,5.56,5.56,0,0,0,0,22.22,0,0,5.56,5.56,5.56,0,0,0,0,5.56,0,0,5.56,5.56,0,0,0,5.56,5.56,5.56,0,0,5.56,0,0,5.56,0,5.56,0,5.56,0,16.67,0,5.56,0,0,0,0,0,0,0,0
460,21,21,0,90.48,61.9,33.33,38.1,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,4.76,9.52,4.76,4.76,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,4.76,9.52,0,0,0,0,0,0,0,0,0,19.05,4.76,4.76,9.52,4.76,0,4.76,0,0,0,0,0,0,0,0
461,6,6,0,83.33,50,16.67,33.33,0,0,0,0,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.67,0,0,0,16.67,0,0,0,0,0,0
