ID,WC,WPS,Qmarks,Unique,Dic,Sixltr,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Class
325,37,37,0,75.68,81.08,24.32,48.65,10.81,5.41,0,0,5.41,0,0,5.41,5.41,10.81,8.11,0,10.81,0,5.41,10.81,5.41,10.81,0,0,0,8.11,0,0,0,2.7,0,2.7,0,2.7,0,18.92,2.7,8.11,5.41,2.7,0,2.7,0,2.7,0,0,0,0,2.7,0,2.7,0,0,8.11,2.7,0,5.41,0,5.41,0,0,0,0,5.41,0,0,0,1
326,54,10.8,0,83.33,77.78,18.52,38.89,11.11,11.11,1.85,0,0,9.26,0,0,3.7,11.11,3.7,7.41,3.7,0,1.85,14.81,1.85,0,1.85,3.7,0,14.81,0,3.7,0,11.11,9.26,1.85,0,0,1.85,18.52,0,3.7,1.85,3.7,1.85,1.85,5.56,0,1.85,1.85,0,0,0,0,0,0,0,14.81,3.7,9.26,1.85,7.41,1.85,0,0,0,1.85,1.85,0,0,0,1
327,87,43.5,0,58.62,40.23,9.2,27.59,11.49,6.9,4.6,1.15,0,1.15,0,4.6,1.15,4.6,3.45,2.3,1.15,0,1.15,5.75,2.3,0,1.15,12.64,0,3.45,0,0,0,4.6,1.15,3.45,2.3,0,0,10.34,3.45,0,0,2.3,1.15,1.15,1.15,2.3,0,0,0,0,0,0,0,0,0,8.05,1.15,3.45,3.45,0,1.15,0,0,0,0,0,0,0,0,0
328,45,9,0,80,77.78,15.56,46.67,13.33,8.89,8.89,0,0,0,0,4.44,4.44,17.78,11.11,6.67,11.11,0,4.44,4.44,6.67,4.44,6.67,6.67,0,15.56,2.22,4.44,0,8.89,4.44,4.44,0,2.22,2.22,11.11,2.22,2.22,0,2.22,2.22,0,2.22,2.22,4.44,0,4.44,0,4.44,2.22,2.22,0,0,2.22,0,0,2.22,0,4.44,0,0,0,0,4.44,0,0,0,1
329,50,25,0,56,38,6,30,12,10,0,10,0,0,0,2,0,6,4,4,2,0,2,8,0,0,4,16,0,12,0,0,0,0,0,0,0,0,0,10,2,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,6,0,4,2,0,0,0,2,0,0,0,0,0,0,0
330,50,25,0,94,80,14,42,16,10,6,2,0,2,0,6,4,14,8,4,8,0,6,4,10,0,2,2,2,10,0,0,0,12,4,8,2,6,0,10,0,0,0,4,0,0,2,6,8,6,2,0,4,2,2,0,0,14,2,2,10,0,0,4,0,0,2,4,0,0,0,0
331,27,27,0,85.19,59.26,22.22,29.63,3.7,3.7,0,0,0,3.7,0,0,7.41,0,0,0,0,0,0,11.11,7.41,0,0,3.7,0,11.11,0,0,3.7,11.11,0,11.11,3.7,7.41,0,11.11,0,0,0,0,3.7,0,7.41,0,3.7,0,3.7,0,0,0,0,0,0,3.7,0,0,3.7,0,0,0,0,0,0,7.41,0,0,0,0
332,24,24,0,95.83,50,33.33,25,4.17,4.17,0,0,0,0,4.17,0,0,8.33,8.33,4.17,4.17,0,4.17,8.33,4.17,0,0,4.17,0,4.17,0,0,0,12.5,0,12.5,0,12.5,0,4.17,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0,16.67,0,4.17,12.5,0,4.17,0,0,0,0,4.17,0,0,0,0
333,24,24,0,83.33,45.83,20.83,16.67,4.17,0,0,0,0,0,0,4.17,0,12.5,4.17,12.5,0,0,0,8.33,0,0,0,8.33,0,4.17,0,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,4.17,0,4.17,0,4.17,4.17,0,0,12.5,0,0,0,1
334,57,57,0,71.93,45.61,22.81,26.32,3.51,0,0,0,0,0,0,3.51,7.02,1.75,1.75,0,1.75,0,3.51,10.53,3.51,0,3.51,7.02,0,5.26,0,0,0,1.75,1.75,0,0,0,0,7.02,1.75,0,0,0,0,0,5.26,0,1.75,0,1.75,0,0,0,0,0,0,5.26,1.75,0,3.51,8.77,1.75,0,0,3.51,0,0,0,0,0,0
